ncbi_gene_id,ensembl_gene_id,hgnc_symbol,gene_name,ucsc_id,alias
391191,ENSG00000187080,OR2AK2,OR2AK2,uc010pzd.4,OR1-47
391192,ENSG00000198128,OR2L3,OR2L3,uc001idx.2,OR2L3
391194,ENSG00000198601,OR2M2,OR2M2,uc285hsf.1,OR2M2Q
391195,ENSG00000177212,OR2T33,OR2T33,uc010pzi.3,OR1-56
391196,ENSG00000177186,OR2M7,OR2M7,uc010pzk.2,OR1-58
391211,ENSG00000292302,OR2G6,OR2G6,,OR2G6
391253,ENSG00000149651,SPINT4,SPINT4,uc002xpe.3,C20orf137
391356,ENSG00000184924,PTRHD1,PTRHD1,uc002rfm.5,C2orf79
391365,ENSG00000138068,SULT6B1,SULT6B1,uc002rpu.5,ST6B1
391475,ENSG00000232125,DYTN,DYTN,uc002vbr.1,DYTN
391622,ENSG00000205946,USP17L6P,USP17L6P,uc286vcq.1,DUB4
391627,ENSG00000251694,USP17L9P,USP17L9P,uc286vcp.1,RS447
391712,ENSG00000183439,TRIM61,TRIM61,uc003iqw.5,RNF35
391714,ENSG00000250374,TRIM75,TRIM75,uc285wyr.2,TRIM75P
391723,ENSG00000187821,HELT,HELT,uc011cko.4,HCM1228
391742,ENSG00000284373,TAF11L2,TAF11L2,uc285xdt.1,TAF11L2
391746,ENSG00000284283,TAF11L4,TAF11L4,uc285xdv.1,TAF11L4
391747,ENSG00000284042,TAF11L6,TAF11L6,uc285xdx.1,TAF11L6
391769,ENSG00000269466,H3Y1,H3Y1,uc285xeg.2,H3.Y
392138,ENSG00000285496,OR2A25,OR2A25,,OR2A24P
392188,ENSG00000284781,USP17L4,USP17L4,,USP17L10
392197,ENSG00000284991,USP17L7,USP17L7,,USP17L7
392255,ENSG00000156466,GDF6,GDF6,uc003yhp.4,BMP-13
392307,ENSG00000204930,FAM221B,FAM221B,uc010mlc.4,C9orf128
392309,ENSG00000168828,OR13J1,OR13J1,uc011lph.4,OR9-2
392360,ENSG00000290757,CTSL3P,CTSL3P,uc287dqs.1,CTSL3
392376,ENSG00000276119,OR13C2,OR13C2,uc011lvq.2,OR37K
392390,ENSG00000171459,OR1L6,OR1L6,uc022bna.2,HG16
392391,ENSG00000148215,OR5C1,OR5C1,uc011lzd.2,OR5C2P
392392,ENSG00000165204,OR1K1,OR1K1,uc011lze.2,hg99
392399,ENSG00000148386,LCN9,LCN9,uc064wzo.2,HEL129
392433,ENSG00000232030,MAGEB6B,MAGEB6B,uc284raa.2,MAGEB6P1
392459,ENSG00000290641,,CXXC1P1,uc287ejc.1,CXorf25
392465,ENSG00000171433,GLOD5,GLOD5,uc011mmh.4,GLOD5
392509,ENSG00000174225,ARL13A,ARL13A,uc011mrf.3,ARL13
392517,ENSG00000170935,NCBP2L,NCBP2L,uc286dhx.1,dJ820B18.1
392617,ENSG00000225968,ELFN1,ELFN1,uc010ksg.3,PPP1R28
392636,ENSG00000187546,AGMO,AGMO,uc003stb.2,TMEM195
392843,ENSG00000278685,IQCA1L,IQCA1L,uc064jja.1,IQCA1P1
392862,ENSG00000215045,GRID2IP,GRID2IP,uc011jwx.4,DELPHILIN
393046,ENSG00000284896,OR2A5,OR2A5,,OR2A11P
394263,ENSG00000204544,MUC21,MUC21,uc063mxq.1,C6orf205
399473,ENSG00000188766,SPRED3,SPRED3,uc060ybi.2,Eve-3
399474,ENSG00000253304,TMEM200B,TMEM200B,uc001brn.4,TTMB
399512,ENSG00000125434,SLC25A35,SLC25A35,uc002gkt.4,SLC25A35
399664,ENSG00000181588,MEX3D,MEX3D,uc060rdi.2,MEX-3D
399665,ENSG00000167106,EEIG1,EEIG1,uc004bsx.4,C9orf132
399668,ENSG00000178947,SMIM10L2A,SMIM10L2A,uc004eyv.7,LED
399669,ENSG00000293246,ZNF321P,ZNF321P,uc286prb.1,ZNF321
399670,ENSG00000293158,RPL13AP17,RPL13AP17,uc287axr.1,RPL13A_6_816
399671,ENSG00000187105,HEATR4,HEATR4,uc059ddc.1,HEATR4
399687,ENSG00000196535,MYO18A,MYO18A,uc002hdt.4,MAJN
399693,ENSG00000260220,CCDC187,CCDC187,uc064xbc.3,CCDC187
399694,ENSG00000185634,SHC4,SHC4,uc001zxb.3,RaLP
399697,ENSG00000233932,CTXN2,CTXN2,uc285mma.1,CTXN2
399715,ENSG00000215244,LINC02649,LINC02649,uc021pms.2,LINC02649
399717,ENSG00000197308,GATA3-AS1,GATA3-AS1,uc001ijx.1,GATA3-AS1
399726,ENSG00000204682,MIR1915HG,MIR1915HG,uc287qzj.1,C10orf114
399761,ENSG00000291069,,BMS1P1,uc286gbx.1,BMS1LP1
399814,ENSG00000183559,C10orf120,C10orf120,uc057wnt.1,bA318C4.1
399818,ENSG00000203791,EEF1AKMT2,EEF1AKMT2,uc057wpz.1,C10orf138
