Sample_ID,Pseudotime,State,Cluster,Tissue_Type
TCGA-49-4512-01A,59.5831202152685,6,5.0,Tumor
TCGA-93-A4JN-01A,59.661651975159,3,2.0,Tumor
TCGA-49-4488-01A,59.68785677492,6,1.0,Tumor
TCGA-49-4490-01A,59.8098481909794,6,3.0,Tumor
TCGA-86-8585-01A,59.8380822397741,6,4.0,Tumor
TCGA-49-AAQV-01A,59.8572001353157,6,4.0,Tumor
TCGA-55-A491-01A,59.9382738107767,6,4.0,Tumor
TCGA-49-AAR3-01A,60.0885429801384,6,4.0,Tumor
TCGA-50-5935-01A,60.1438678905624,3,2.0,Tumor
TCGA-97-A4LX-01A,60.2690838133688,3,2.0,Tumor
TCGA-64-5778-01A,60.2963411472445,6,3.0,Tumor
TCGA-78-7633-01A,60.3059125132365,3,2.0,Tumor
TCGA-95-A4VP-01A,60.3159580705629,6,5.0,Tumor
TCGA-95-8494-01A,60.3342983938204,6,2.0,Tumor
TCGA-86-8076-01A,60.336214181542,3,2.0,Tumor
TCGA-55-8514-01A,60.3846308213721,6,4.0,Tumor
TCGA-05-4405-01A,60.4119233510697,3,2.0,Tumor
TCGA-86-8278-01A,60.437490216077,3,1.0,Tumor
TCGA-49-6744-01A,60.4633045229066,3,3.0,Tumor
TCGA-78-7167-01A,60.5165591988294,3,2.0,Tumor
TCGA-86-8672-01A,60.6072732176994,6,2.0,Tumor
TCGA-62-A46P-01A,60.6756786689345,6,4.0,Tumor
TCGA-50-8459-01A,60.726957832621,3,3.0,Tumor
TCGA-93-7348-01A,60.7274578705834,3,4.0,Tumor
TCGA-49-AAR0-01A,60.7338436986091,6,3.0,Tumor
TCGA-73-7498-01A,60.7454582525172,3,2.0,Tumor
TCGA-MP-A4TE-01A,60.8971116345091,6,4.0,Tumor
TCGA-97-A4M5-01A,60.9063802957244,3,3.0,Tumor
TCGA-78-8662-01A,60.9722755479884,6,1.0,Tumor
TCGA-50-5044-01A,61.0081873178735,6,3.0,Tumor
TCGA-49-AARE-01A,61.0370214468161,6,4.0,Tumor
TCGA-62-A46S-01A,61.0762491080836,3,4.0,Tumor
TCGA-86-8674-01A,61.1119168830743,6,2.0,Tumor
TCGA-49-AARQ-01A,61.2228253145058,6,5.0,Tumor
TCGA-86-8673-01A,61.3259502215622,6,3.0,Tumor
TCGA-64-5781-01A,61.3929612838094,6,2.0,Tumor
TCGA-86-A4P7-01A,61.4737606328936,3,3.0,Tumor
TCGA-MN-A4N1-01A,61.4972750131353,6,4.0,Tumor
TCGA-78-7166-01A,61.500714363661,6,5.0,Tumor
TCGA-55-A492-01A,61.5305262392536,6,2.0,Tumor
TCGA-NJ-A4YF-01A,61.5527102376514,6,5.0,Tumor
TCGA-50-6597-01A,61.641285612099,6,3.0,Tumor
TCGA-38-4632-11A,61.73230096219,3,5.0,Normal
TCGA-78-7535-01A,61.749430841532,6,5.0,Tumor
TCGA-4B-A93V-01A,61.8961987596559,6,4.0,Tumor
TCGA-49-AAR2-01A,62.8103904495707,6,5.0,Tumor
TCGA-69-7763-01A,63.0018934505372,5,3.0,Tumor
TCGA-49-4514-01A,63.0360652667536,6,5.0,Tumor
