"Sample_ID","Pseudotime","State","Cluster","Tissue_Type"
"TCGA-55-6983-01A",48.9217204147125,"3","NA","Tumor"
"TCGA-71-8520-01A",49.0302291968732,"6","NA","Tumor"
"TCGA-55-6986-01A",49.0525815322358,"3","NA","Tumor"
"TCGA-MP-A4TK-01A",49.0796295529947,"6","NA","Tumor"
"TCGA-NJ-A55R-01A",49.1735423990958,"6","NA","Tumor"
"TCGA-78-7152-01A",49.2297633735252,"6","NA","Tumor"
"TCGA-55-8505-01A",49.2667219707777,"6","NA","Tumor"
"TCGA-05-5423-01A",49.4249520545717,"6","NA","Tumor"
"TCGA-97-A4M3-01A",49.8469224037496,"6","NA","Tumor"
"TCGA-44-A47A-01A",50.1981592588377,"6","NA","Tumor"
"TCGA-95-A4VK-01A",50.2057827006916,"3","NA","Tumor"
"TCGA-L9-A743-01A",50.3055373014911,"3","NA","Tumor"
"TCGA-97-8171-01A",50.4349544389457,"6","NA","Tumor"
"TCGA-78-7539-01A",50.6466074010592,"6","NA","Tumor"
"TCGA-44-7672-01A",50.908591714934,"6","NA","Tumor"
"TCGA-91-A4BC-01A",51.3384343063638,"6","NA","Tumor"
"TCGA-78-8655-01A",51.4415912409207,"6","NA","Tumor"
"TCGA-93-A4JO-01A",51.4925097158692,"6","NA","Tumor"
"TCGA-50-6593-01A",51.5614818351457,"6","NA","Tumor"
"TCGA-97-8175-01A",51.586346044698,"6","NA","Tumor"
"TCGA-44-8120-01A",51.6854985118812,"3","NA","Tumor"
"TCGA-95-8039-01A",51.7432250811844,"3","NA","Tumor"
"TCGA-NJ-A4YG-01A",52.2062466366981,"6","NA","Tumor"
"TCGA-MP-A4TC-01A",52.3915159675713,"6","NA","Tumor"
"TCGA-MN-A4N4-01A",52.4246803142876,"6","NA","Tumor"
"TCGA-NJ-A4YP-01A",52.4518216287313,"6","NA","Tumor"
"TCGA-55-8090-01A",52.485658865086,"3","NA","Tumor"
"TCGA-55-8507-01A",52.4983530536237,"6","NA","Tumor"
"TCGA-05-5715-01A",52.5101271088399,"6","NA","Tumor"
"TCGA-64-1681-01A",52.5125171603841,"3","NA","Tumor"
"TCGA-NJ-A4YI-01A",52.5647679944814,"3","NA","Tumor"
"TCGA-86-8279-01A",52.6011164546937,"6","NA","Tumor"
"TCGA-78-7537-01A",52.6631788740252,"3","NA","Tumor"
"TCGA-NJ-A7XG-01A",52.7290688514811,"3","NA","Tumor"
"TCGA-91-8496-01A",52.7467691024029,"3","NA","Tumor"
"TCGA-L9-A444-01A",52.8263845810359,"6","NA","Tumor"
"TCGA-NJ-A55O-01A",52.8565831892847,"3","NA","Tumor"
"TCGA-86-8359-01A",53.2238801324875,"6","NA","Tumor"
"TCGA-67-6216-01A",53.3883432233313,"3","NA","Tumor"
"TCGA-78-7540-01A",53.5911353314889,"3","NA","Tumor"
"TCGA-44-6776-01A",53.6187525092751,"3","NA","Tumor"
"TCGA-44-A4SU-01A",53.6909297794193,"3","NA","Tumor"
"TCGA-55-8511-01A",53.8641903198827,"6","NA","Tumor"
"TCGA-99-8025-01A",53.9362518077342,"6","NA","Tumor"
"TCGA-50-5055-01A",54.3537780510346,"6","NA","Tumor"
"TCGA-78-7163-01A",54.4047599499629,"6","NA","Tumor"
"TCGA-86-A456-01A",54.4143453177886,"3","NA","Tumor"
"TCGA-99-8028-01A",54.4384937895552,"6","NA","Tumor"
"TCGA-97-8547-01A",54.4483226844701,"6","NA","Tumor"
"TCGA-55-8510-01A",54.4783669763402,"6","NA","Tumor"
"TCGA-MP-A4SW-01A",54.5111102439206,"6","NA","Tumor"
"TCGA-55-8508-01A",54.5778658297454,"6","NA","Tumor"
"TCGA-49-AARN-01A",55.1904532206274,"6","NA","Tumor"
"TCGA-78-7147-01A",55.2086608663021,"6","NA","Tumor"
"TCGA-97-8177-01A",55.7841913692984,"6","NA","Tumor"
"TCGA-62-A46Y-01A",56.2569856154484,"3","NA","Tumor"
"TCGA-69-8253-01A",56.3225795500189,"6","NA","Tumor"
"TCGA-L9-A50W-01A",56.3740259283841,"3","NA","Tumor"
"TCGA-49-AARO-01A",56.426555545753,"6","NA","Tumor"
"TCGA-55-8616-01A",56.435927310194,"6","NA","Tumor"
"TCGA-50-8460-01A",56.4959981194182,"3","NA","Tumor"
"TCGA-55-7281-01A",56.5135803363888,"6","NA","Tumor"
"TCGA-91-6849-01A",57.2782286153849,"3","NA","Tumor"
"TCGA-93-8067-01A",57.2953126348801,"6","NA","Tumor"
"TCGA-62-8397-01A",57.3082856876161,"3","NA","Tumor"
"TCGA-55-7728-01A",57.3085357065973,"3","NA","Tumor"
"TCGA-91-A4BD-01A",57.3776178827301,"6","NA","Tumor"
"TCGA-62-8398-01A",57.4049462251715,"6","NA","Tumor"
"TCGA-93-7347-01A",57.9030039149477,"3","NA","Tumor"
"TCGA-55-6980-01A",57.9157665867966,"3","NA","Tumor"
"TCGA-55-6543-01A",57.930346222519,"3","NA","Tumor"
"TCGA-97-A4M6-01A",57.9305962415002,"3","NA","Tumor"
"TCGA-86-8280-01A",57.9308462604814,"3","NA","Tumor"
"TCGA-75-6212-01A",57.9657845561043,"3","NA","Tumor"
"TCGA-78-8648-01A",58.1027429848359,"3","NA","Tumor"
"TCGA-69-8453-01A",58.1207054898881,"3","NA","Tumor"
"TCGA-49-4487-01A",58.2540290605326,"6","NA","Tumor"
"TCGA-55-8096-01A",58.2949549935126,"3","NA","Tumor"
"TCGA-44-7662-01A",58.3817366193949,"6","NA","Tumor"
"TCGA-86-A4JF-01A",58.4297370636643,"6","NA","Tumor"
"TCGA-55-8085-01A",58.4552573142859,"6","NA","Tumor"
"TCGA-75-7031-01A",58.5692917428584,"6","NA","Tumor"
"TCGA-MP-A4T7-01A",58.6028562278515,"6","NA","Tumor"
"TCGA-95-7948-01A",58.6248076759835,"6","NA","Tumor"
"TCGA-49-6742-01A",58.7026226228953,"6","NA","Tumor"
"TCGA-62-8395-01A",58.7428336759397,"3","NA","Tumor"
"TCGA-49-6761-01A",58.7475196836919,"6","NA","Tumor"
"TCGA-50-5068-01A",58.784850184515,"6","NA","Tumor"
"TCGA-38-A44F-01A",58.7881376882108,"3","NA","Tumor"
"TCGA-95-7567-01A",58.7980168755736,"6","NA","Tumor"
"TCGA-MP-A4T9-01A",58.8102023035194,"3","NA","Tumor"
"TCGA-L4-A4E5-01A",58.813724023783,"6","NA","Tumor"
"TCGA-05-5429-01A",58.8686987928084,"6","NA","Tumor"
"TCGA-44-A47G-01A",58.910735282526,"3","NA","Tumor"
"TCGA-71-6725-01A",58.9388915482327,"6","NA","Tumor"
"TCGA-49-AAR4-01A",58.9492989387679,"6","NA","Tumor"
"TCGA-55-A490-01A",58.9575325853711,"6","NA","Tumor"
"TCGA-62-8394-01A",58.9971472698024,"6","NA","Tumor"
"TCGA-MP-A4T8-01A",59.0007503152183,"6","NA","Tumor"
"TCGA-78-7153-01A",59.0297066671458,"6","NA","Tumor"
"TCGA-50-5045-01A",59.0669713203537,"6","NA","Tumor"
"TCGA-80-5608-01A",59.0803013874656,"6","NA","Tumor"
"TCGA-55-8615-01A",59.1279545269229,"6","NA","Tumor"
"TCGA-95-7039-01A",59.1785616007611,"6","NA","Tumor"
"TCGA-55-8506-01A",59.2104048780924,"6","NA","Tumor"
"TCGA-69-7979-01A",59.2473469193042,"6","NA","Tumor"
"TCGA-MP-A4TD-01A",59.2621060198877,"6","NA","Tumor"
"TCGA-78-7149-01A",59.2746630408841,"6","NA","Tumor"
"TCGA-55-6972-01A",59.3412933857193,"6","NA","Tumor"
"TCGA-95-7944-01A",59.4355344565564,"6","NA","Tumor"
"TCGA-50-5051-01A",59.4508034514086,"6","NA","Tumor"
"TCGA-55-8302-01A",59.4560388030164,"6","NA","Tumor"
"TCGA-O1-A52J-01A",59.4649867734844,"3","NA","Tumor"
"TCGA-78-8660-01A",59.5131880548548,"6","NA","Tumor"
"TCGA-97-8176-01A",59.5253185373446,"6","NA","Tumor"
"TCGA-86-8281-01A",59.5584846081138,"3","NA","Tumor"
"TCGA-49-4512-01A",59.583120215257,"6","NA","Tumor"
"TCGA-93-A4JN-01A",59.6616519751625,"3","NA","Tumor"
"TCGA-49-4488-01A",59.6878567749084,"6","NA","Tumor"
"TCGA-49-4490-01A",59.8098481909678,"6","NA","Tumor"
"TCGA-86-8585-01A",59.8380822397624,"6","NA","Tumor"
